Date,Client Name,Channel Name,Symbol,Status,Trade Gained Profit %,Trade Gained Profit BTC
2019-10-13 00:00:19.018707,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,2.9402,0.00000000
2019-10-13 21:00:14.075233,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,4.4203,0.00000000
2019-10-13 21:00:17.820204,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-2.8231,-0.01263600
2019-10-13 22:00:13.700640,BitMEX,World Class Traders Elite,EOS/Z19,All Targets achieved,2.4981,0.00000000
2019-10-16 15:36:22.528255,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,4.9303,0.00000000
2019-10-17 08:00:14.410395,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,2.7868,0.00000000
2019-10-18 23:00:51.481359,BitMEX,World Class Traders Elite,XRP/Z19,Cancelled,0.0,0.00000000
2019-10-19 02:03:56.888241,BitMEX,World Class Traders Elite,LTC/Z19,Cancelled,-0.15,0.00000000
2019-10-19 05:00:16.397743,BitMEX,World Class Traders Elite,XRP/Z19,Cancelled,0.3855,0.00000000
2019-10-19 17:00:15.900267,BitMEX,World Class Traders Elite,BCH/Z19,Cancelled,-1.2071,0.00000000
2019-10-19 19:00:18.013758,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.1074,0.00063200
2019-10-20 01:00:21.585534,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.4153,-0.00688700
2019-10-20 17:00:15.348808,BitMEX,World Class Traders Elite,LTC/Z19,Stopped out,-2.1466,0.00000000
2019-10-20 19:00:19.138016,BitMEX,World Class Traders Elite,EOS/Z19,Cancelled,0.0403,0.00000000
2019-10-20 20:00:24.791514,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.0235,0.00000000
2019-10-21 19:00:22.299897,BitMEX,World Class Traders Elite,EOS/Z19,Stopped out,-1.4714,0.00000000
2019-10-22 09:00:14.392973,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.0882,0.00000000
2019-10-22 11:00:13.960252,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.0309,0.00014600
