date,open,high,low,close,volume,signal
2019-04-01 21:00:00.000,17.8968,17.9467,17.7599,17.76,113380.42,
2019-04-01 22:00:00.000,17.76,17.8143,17.5303,17.7057,145902.57,
2019-04-01 23:00:00.000,17.7136,18.28,17.6326,18.0649,255544.57,
2019-04-02 00:00:00.000,18.0746,18.55,17.9102,18.2994,547095.48,
2019-04-02 01:00:00.000,18.2762,18.8813,18.2706,18.5484,359259.92,
2019-04-02 02:00:00.000,18.5331,18.88,18.4,18.7359,149271.66,
2019-04-02 03:00:00.000,18.7308,18.7919,18.6288,18.6796,61771.31,
2019-04-02 04:00:00.000,18.678,18.95,18.6007,18.9477,113302.29,
2019-04-02 05:00:00.000,18.9477,19.19,18.8423,19.1202,147589.03,
2019-04-02 06:00:00.000,19.1216,19.15,18.78,18.8164,121143.92,
2019-04-02 07:00:00.000,18.8164,19.1018,18.76,19.0,98419.58,
2019-04-02 08:00:00.000,19.014,19.0995,18.84,19.0894,80958.94,
2019-04-02 09:00:00.000,19.0816,19.0899,18.77,18.885,122938.9,
2019-04-02 10:00:00.000,18.885,18.885,18.7273,18.817999999999998,47243.42,
2019-04-02 11:00:00.000,18.817999999999998,19.07,18.7774,19.07,69841.83,
2019-04-02 12:00:00.000,19.07,19.1898,18.9454,19.0867,67290.32,
2019-04-02 13:00:00.000,19.0918,19.49,19.08,19.4549,106462.93,
2019-04-02 14:00:00.000,19.4549,19.88,19.3401,19.8555,123941.06,
2019-04-02 15:00:00.000,19.8516,19.8758,19.56,19.8509,102570.33,
2019-04-02 16:00:00.000,19.8509,19.8599,19.5278,19.5586,62515.75,
2019-04-02 17:00:00.000,19.5586,19.85,19.5468,19.6082,109124.7,
2019-04-02 18:00:00.000,19.5905,19.78,19.56,19.7155,166024.34,
2019-04-02 19:00:00.000,19.7155,20.0,19.56,19.8397,260144.74,
2019-04-02 20:00:00.000,19.855,19.8562,19.000999999999998,19.3445,517173.49,
2019-04-02 21:00:00.000,19.3393,19.615,19.2306,19.613,197810.31,
2019-04-02 22:00:00.000,19.605999999999998,19.613,19.25,19.3562,168868.18,
2019-04-02 23:00:00.000,19.3449,19.3989,18.6382,18.99,220898.78,
2019-04-03 00:00:00.000,18.99,19.2956,18.95,19.207,57217.0,
2019-04-03 01:00:00.000,19.207,19.2347,18.9523,19.1173,66397.76,
2019-04-03 02:00:00.000,19.125,19.2978,19.1151,19.1875,41256.36,
2019-04-03 03:00:00.000,19.1875,19.349,19.0844,19.349,54247.89,
2019-04-03 04:00:00.000,19.349,19.359,19.2181,19.2201,47377.56,
