,num_candles,median_multiplier,sdev_multiplier,window_lookback,ending_capital
1841,4,6,8,48,19947.782194819694
1842,4,6,10,48,29178.698383342653
1843,4,6,12,48,31067.990925743234
1844,4,6,14,48,32004.021002068075
1845,4,6,16,48,32403.850802174307
1846,4,6,18,48,32631.87616871106
1847,4,6,20,48,35994.210439161696
1848,4,6,22,48,36162.89585952949
1849,4,6,24,48,35259.40673555512
1850,4,7,6,48,17364.490477132833
1851,4,7,8,48,21731.112277672048
1852,4,7,10,48,31427.80388935048
1853,4,7,12,48,31422.586414691712
1854,4,7,14,48,31208.409661389618
1855,4,7,16,48,31719.02111659068
1856,4,7,18,48,34045.618126593974
1857,4,7,20,48,35210.12433603199
1858,4,7,22,48,35259.40673555512
1859,4,7,24,48,35961.41987168706
1860,4,8,6,48,19844.460904461732
1861,4,8,8,48,23277.159048289363
1862,4,8,10,48,30378.439460157624
1863,4,8,12,48,34983.64116822032
1864,4,8,14,48,31694.223614121816
1865,4,8,16,48,32689.784751567375
1866,4,8,18,48,35350.68977257524
1867,4,8,20,48,36167.398217485796
1868,4,8,22,48,35961.41987168706
1869,4,8,24,48,35961.41987168706
1870,4,9,6,48,22561.97091216876
1871,4,9,8,48,26609.66605453754
1872,4,9,10,48,30576.74253135957
1873,4,9,12,48,34756.548747097535
1874,4,9,14,48,32481.743790662582
1875,4,9,16,48,34118.01247451676
1876,4,9,18,48,35130.47220347323
1877,4,9,20,48,36887.48942148205
1878,4,9,22,48,35961.41987168706
1879,4,9,24,48,35961.41987168706
1880,4,10,6,48,21145.737431994577
1881,4,10,8,48,32079.61413483175
1882,4,10,10,48,31849.361476420658
1883,4,10,12,48,34112.80444894927
1884,4,10,14,48,32482.902212020825
1885,4,10,16,48,35045.594607350984
1886,4,10,18,48,36167.398217485796
1887,4,10,20,48,35961.41987168706
1888,4,10,22,48,35961.41987168706
1889,4,10,24,48,35961.41987168706
1890,5,2,6,48,10700.008682315985
1891,5,2,8,48,14853.22792144455
1892,5,2,10,48,17987.02892847033
1893,5,2,12,48,18606.44119638188
1894,5,2,14,48,26582.12937169663
1895,5,2,16,48,28250.435441888745
1896,5,2,18,48,27749.031661248533
1897,5,2,20,48,28891.09140928706
1898,5,2,22,48,29713.752916297577
1899,5,2,24,48,32570.05028533979
1900,5,3,6,48,10180.95442518561
1901,5,3,8,48,14316.578859965713
1902,5,3,10,48,17650.89650385366
1903,5,3,12,48,18973.25927721399
1904,5,3,14,48,26475.155084698366
1905,5,3,16,48,28934.297063721748
1906,5,3,18,48,26869.772956301334
1907,5,3,20,48,28200.266544170518
1908,5,3,22,48,31761.10478631462
1909,5,3,24,48,34135.09643644537
1910,5,4,6,48,10266.254961901866
1911,5,4,8,48,15439.896189622861
1912,5,4,10,48,18437.7635470507
1913,5,4,12,48,21349.511014371335
1914,5,4,14,48,26965.942288113616
1915,5,4,16,48,29933.678277668518
1916,5,4,18,48,29517.19154932245
1917,5,4,20,48,29055.658416530605
1918,5,4,22,48,33044.14923405382
1919,5,4,24,48,34956.876367211036
1920,5,5,6,48,11753.91630134263
1921,5,5,8,48,16887.318301595446
1922,5,5,10,48,18713.650319618206
1923,5,5,12,48,24506.285022260105
1924,5,5,14,48,30870.286495866974
1925,5,5,16,48,28455.666702853883
1926,5,5,18,48,28079.758460834124
1927,5,5,20,48,31230.93538602289
1928,5,5,22,48,33456.96773130798
1929,5,5,24,48,36132.4412642849
1930,5,6,6,48,13246.785725881964
1931,5,6,8,48,16514.003765698166
1932,5,6,10,48,19551.32121141049
1933,5,6,12,48,25097.217741255394
1934,5,6,14,48,30466.37474101637
1935,5,6,16,48,29681.329594128212
1936,5,6,18,48,28317.666174807462
1937,5,6,20,48,33107.04031879996
1938,5,6,22,48,34961.22857315859
1939,5,6,24,48,36132.4412642849
1940,5,7,6,48,14610.820569088692
1941,5,7,8,48,19779.266339555943
1942,5,7,10,48,21984.486567011754
1943,5,7,12,48,29351.62384417449
