date,available_capital,capital_locked_in_trades,total_capital,trades_open
2018-09-07 05:00:00,16.8367220438609,1.7651204036818176,18.601842447542715,1
2018-09-07 06:00:00,16.8367220438609,1.7651204036818176,18.601842447542715,1
2018-09-07 07:00:00,16.8367220438609,1.7651204036818176,18.601842447542715,1
2018-09-07 08:00:00,16.8367220438609,1.7651204036818176,18.601842447542715,1
2018-09-07 09:00:00,16.8367220438609,1.7651204036818176,18.601842447542715,1
2018-09-07 10:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 11:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 12:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 13:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 14:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 15:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 16:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 17:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 18:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 19:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 20:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 21:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 22:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-07 23:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 00:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 01:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 02:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 03:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 04:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 05:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 06:00:00,19.086943737127495,0.0,19.086943737127495,0
2018-09-08 07:00:00,17.183021099349027,1.9086943737127495,19.091715473061775,1
2018-09-08 08:00:00,17.183021099349027,1.9086943737127495,19.091715473061775,1
2018-09-08 09:00:00,17.283802670481503,1.813259655027112,19.097062325508617,1
2018-09-08 10:00:00,17.283802670481503,1.813259655027112,19.097062325508617,1
2018-09-08 11:00:00,17.582584835798006,1.7283802670481503,19.310965102846154,1
2018-09-08 12:00:00,14.350049897370882,4.983531501739154,19.333581399110038,3
2018-09-08 13:00:00,16.24225014462909,3.3415702480434115,19.5838203926725,2
2018-09-08 14:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 15:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 16:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 17:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 18:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 19:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 20:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 21:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 22:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-08 23:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
