date,ticker,signal,price,stop_loss,tp
2018-12-31 03:00:00.000,ADA-BTC,long,1.112e-05,1.099e-05,0
2018-12-31 22:00:00.000,EOS-BTC,long,0.0006865,0.0006753999999999999,2
2019-01-01 02:00:00.000,ETH-BTC,long,0.036204,0.035315,2
2019-01-03 06:00:00,BTC-USDT,long,3818.02,3783.0,0
2019-01-03 23:00:00.000,ADA-BTC,long,1.143e-05,1.111e-05,2
2019-01-04 00:00:00.000,LTC-BTC,long,0.008535,0.00821,2
2019-01-05 06:00:00.000,ADA-BTC,long,1.135e-05,1.123e-05,2
2019-01-07 22:00:00.000,LTC-BTC,long,0.009563,0.009303,2
2019-01-08 07:00:00,BTC-USDT,long,4026.72,3936.26,0
2019-01-09 09:00:00.000,ETH-USDT,short,148.26,150.7,2
2019-01-09 22:00:00,BTC-USDT,long,3993.0,3955.0,0
2019-01-12 03:00:00.000,ADA-BTC,short,1.196e-05,1.213e-05,1
2019-01-12 15:00:00.000,ETH-BTC,short,0.034408,0.034996,1
2019-01-12 15:00:00.000,ETH-USDT,short,123.52,126.19,1
2019-01-12 23:00:00,BTC-USDT,short,3582.26,3612.39,1
2019-01-13 08:00:00,BTC-USDT,short,3572.18,3611.1,2
2019-01-17 02:00:00.000,ETH-BTC,short,0.033622000000000006,0.034131,2
2019-01-17 02:00:00.000,ETH-USDT,short,120.45,122.7,2
2019-01-17 22:00:00.000,ETH-BTC,short,0.033513,0.033851,2
2019-01-18 06:00:00.000,ETH-BTC,short,0.033397,0.0337,2
2019-01-18 10:00:00.000,ETH-USDT,short,119.63,121.9,1
2019-01-18 11:00:00.000,LTC-BTC,short,0.0085,0.008708,0
2019-01-18 23:00:00,BTC-USDT,long,3608.0,3566.1,2
2019-01-19 20:00:00.000,XRP-BTC,short,8.88e-05,8.969e-05,1
2019-01-20 01:00:00.000,ETH-BTC,short,0.033257,0.033527999999999995,1
2019-01-21 15:00:00.000,ETH-USDT,short,114.9,118.5,1
2019-01-21 16:00:00.000,ADA-BTC,short,1.205e-05,1.222e-05,2
2019-01-21 21:00:00.000,ETH-USDT,short,115.99,117.29,1
2019-01-22 00:00:00.000,ADA-BTC,short,1.201e-05,1.215e-05,1
2019-01-22 01:00:00,BTC-USDT,short,3515.7,3590.51,2
2019-01-22 03:00:00,BTC-USDT,short,3511.29,3590.51,1
2019-01-22 04:00:00.000,ETH-USDT,short,115.53,117.29,2
2019-01-22 05:00:00.000,ETH-BTC,short,0.032469,0.033087,0
2019-01-24 05:00:00.000,EOS-BTC,long,0.0006843999999999999,0.0006758999999999999,0
