average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,total,0,1,2,3,4,total_trades
"[15, 21, 34]",0.2942,0.6034,0.2687,0.3858,1.3796,0.9810,0.6521,3.9129,226,302,139,48,142,857
"[5, 21, 40]",0.5618,1.0683,0.3138,0.0680,0.6740,1.2176,0.6506,3.9035,228,306,148,54,159,895
"[5, 21, 144]",0.5535,1.0178,0.3048,0.0366,0.6626,1.3257,0.6502,3.9010,303,379,180,72,182,1116
"[15, 30, 233]",0.6424,0.6244,0.0151,0.3351,1.2336,1.0494,0.6500,3.9000,168,234,130,43,122,697
"[13, 30, 233]",0.5548,0.4022,0.1842,0.4097,1.2658,1.0832,0.6500,3.8999,163,236,127,43,123,692
"[8, 25, 50]",0.8242,1.1855,0.4522,0.0675,0.5848,0.7752,0.6482,3.8894,160,232,120,40,128,680
"[8, 21, 233]",1.0879,1.0439,0.1605,0.0821,0.5444,0.9556,0.6457,3.8744,270,338,163,66,161,998
"[10, 30, 200]",0.7974,0.5726,0.1450,0.5080,0.7556,1.0935,0.6453,3.8721,177,241,128,47,125,718
"[15, 30, 200]",0.5650,0.7039,0.0126,0.3360,1.1336,1.1097,0.6435,3.8609,171,232,130,44,122,699
"[8, 21, 200]",1.0437,1.0870,0.1550,-0.0154,0.4771,1.1070,0.6424,3.8544,270,335,157,65,163,990
"[8, 25, 200]",0.9661,0.9327,0.1762,0.3187,0.5695,0.8766,0.6400,3.8398,212,287,143,47,140,829
"[8, 30, 233]",0.9596,0.2948,0.1399,0.5939,0.8225,1.0264,0.6395,3.8371,194,254,123,50,134,755
"[13, 30, 200]",0.4806,0.4821,0.1817,0.4106,1.1408,1.1378,0.6389,3.8336,167,232,127,43,123,692
"[8, 15, 100]",0.2921,0.7481,0.3403,0.0410,0.7726,1.6350,0.6382,3.8291,384,440,229,70,209,1332
"[5, 25, 150]",0.8061,1.3281,0.1708,0.2347,0.4783,0.7877,0.6343,3.8056,264,331,160,55,164,974
"[21, 30, 75]",0.7895,0.4656,0.1867,0.2694,0.8657,1.2285,0.6342,3.8053,176,259,127,37,128,727
"[10, 21, 200]",1.0280,0.8359,0.1711,0.0931,0.5199,1.1410,0.6315,3.7890,269,331,158,61,165,984
"[5, 25, 50]",0.8627,1.3954,0.4936,0.0152,0.3479,0.6545,0.6282,3.7693,207,298,141,47,146,839
"[21, 30, 89]",0.7642,0.3909,0.1226,0.3247,0.8934,1.2649,0.6268,3.7607,183,261,133,37,129,743
"[8, 30, 200]",0.8859,0.3825,0.1197,0.5948,0.6898,1.0834,0.6260,3.7562,199,250,124,50,134,757
"[5, 21, 50]",0.3767,1.1270,0.2750,0.0170,0.7499,1.1949,0.6234,3.7405,251,341,159,59,162,972
"[8, 25, 233]",0.9598,0.8826,0.1860,0.3109,0.6534,0.7473,0.6233,3.7400,214,287,144,49,139,833
"[5, 15, 40]",0.5622,0.8275,0.4559,-0.0729,1.0237,0.9234,0.6200,3.7199,353,391,196,69,195,1204
"[5, 25, 144]",0.7955,1.3281,0.1860,0.2128,0.4045,0.7568,0.6139,3.6837,264,333,160,55,162,974
"[8, 25, 55]",0.8298,1.1855,0.2994,0.0721,0.5368,0.7574,0.6135,3.6810,168,242,121,41,127,699
"[13, 21, 200]",0.5678,0.4604,0.1170,0.2311,0.6465,1.6578,0.6134,3.6805,284,353,174,70,165,1046
"[10, 21, 233]",1.0713,0.7744,0.1766,0.1060,0.5558,0.9899,0.6123,3.6739,271,335,162,63,162,993
